,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Toluca,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa,Mérida,Zacatecas
Puebla de Zaragoza,8.616666666666667,42.43333333333333,37.416666666666664,13.966666666666667,9.583333333333334,20.816666666666666,2.1666666666666665,14.966666666666667,15.916666666666666,15.616666666666667,3.283333333333333,7.25,44.266666666666666,4.166666666666667,11.083333333333334,6.85,3.4,14.016666666666667,16.133333333333333,5.566666666666666,0.0,5.533333333333333,23.966666666666665,7.916666666666667,22.95,33.15,8.233333333333333,16.15,0.5833333333333334,2.8,20.616666666666667,10.633333333333333
Santiago de Querétaro,4.133333333333334,37.05,32.03333333333333,19.0,14.6,16.35,3.2333333333333334,10.216666666666667,11.8,11.15,2.966666666666667,2.783333333333333,38.88333333333333,9.183333333333334,5.7,2.65,5.216666666666667,8.633333333333333,11.383333333333333,10.6,5.383333333333334,0.0,29.0,3.1666666666666665,17.55,27.766666666666666,13.25,11.433333333333334,5.233333333333333,8.25,25.65,6.166666666666667
Chetumal,32.266666666666666,66.1,61.06666666666667,10.066666666666666,22.533333333333335,44.46666666666667,25.816666666666666,43.36666666666667,39.56666666666667,39.266666666666666,26.95,30.916666666666668,67.91666666666667,20.716666666666665,34.75,30.5,27.116666666666667,37.666666666666664,41.733333333333334,24.15,23.8,29.2,0.0,31.566666666666666,46.6,56.8,16.0,36.93333333333333,24.316666666666666,23.433333333333334,8.45,34.3
San Luis Potosí,3.066666666666667,32.38333333333333,29.466666666666665,21.9,17.5,15.033333333333333,6.15,7.9,10.45,9.833333333333334,5.866666666666667,3.35,34.1,12.1,4.7,5.85,8.133333333333333,7.616666666666667,9.066666666666666,13.5,8.283333333333333,3.3833333333333333,31.9,0.0,14.983333333333333,25.2,16.166666666666668,9.116666666666667,8.15,11.15,28.55,4.866666666666667
Culiacán,15.733333333333333,20.016666666666666,15.0,36.333333333333336,31.933333333333334,14.066666666666666,20.5,10.65,18.016666666666666,5.316666666666666,19.15,16.25,21.833333333333332,26.516666666666666,12.55,16.766666666666666,21.183333333333334,9.666666666666666,12.016666666666667,27.933333333333334,22.716666666666665,19.35,46.333333333333336,15.283333333333333,0.0,10.733333333333333,30.583333333333332,17.433333333333334,22.566666666666666,25.583333333333332,42.983333333333334,11.15
Hermosillo,25.9,9.483333333333333,17.833333333333332,46.5,42.1,9.75,30.666666666666668,20.816666666666666,28.183333333333334,15.483333333333333,29.316666666666666,26.416666666666668,11.316666666666666,36.68333333333333,22.716666666666665,26.933333333333334,31.35,19.833333333333332,22.183333333333334,38.1,32.88333333333333,29.516666666666666,56.5,25.45,10.983333333333333,0.0,40.75,27.6,32.733333333333334,35.75,53.15,21.316666666666666
Villahermosa,16.316666666666666,50.13333333333333,45.11666666666667,5.75,5.816666666666666,28.516666666666666,9.866666666666667,27.416666666666668,23.616666666666667,23.316666666666666,10.983333333333333,14.966666666666667,51.96666666666667,4.75,18.8,14.55,11.166666666666666,21.716666666666665,25.766666666666666,8.2,7.85,13.233333333333333,15.75,15.616666666666667,30.65,40.85,0.0,20.966666666666665,8.35,7.483333333333333,12.316666666666666,18.333333333333332
Ciudad Victoria,10.966666666666667,36.4,31.7,27.883333333333333,23.483333333333334,15.65,16.783333333333335,7.083333333333333,18.35,12.15,13.6,11.1,38.1,18.083333333333332,12.6,13.583333333333334,18.733333333333334,15.516666666666667,5.45,22.633333333333333,17.35,11.133333333333333,37.88333333333333,8.083333333333334,17.233333333333334,27.433333333333334,22.15,0.0,17.016666666666666,14.25,34.53333333333333,12.783333333333333
Tlaxcala de Xicohténcatl,8.466666666666667,42.28333333333333,37.266666666666666,14.133333333333333,9.733333333333333,20.666666666666668,2.0166666666666666,14.816666666666666,15.766666666666667,15.466666666666667,3.1333333333333333,7.116666666666666,44.11666666666667,4.333333333333333,10.933333333333334,6.7,3.7,13.866666666666667,20.533333333333335,5.733333333333333,0.45,5.383333333333334,24.133333333333333,7.766666666666667,22.8,33.0,8.4,15.733333333333333,0.0,2.966666666666667,20.783333333333335,10.483333333333333
Xalapa,11.466666666666667,45.3,40.28333333333333,13.283333333333333,8.883333333333333,23.683333333333334,4.55,19.75,18.783333333333335,18.483333333333334,5.666666666666667,10.116666666666667,47.13333333333333,3.466666666666667,13.95,9.7,5.85,16.883333333333333,18.116666666666667,7.083333333333333,2.55,8.4,23.283333333333335,10.766666666666667,25.8,36.016666666666666,7.533333333333333,13.316666666666666,3.033333333333333,0.0,19.933333333333334,13.5
Mérida,28.583333333333332,62.416666666666664,57.38333333333333,7.9,18.083333333333332,40.78333333333333,22.133333333333333,39.68333333333333,35.88333333333333,35.583333333333336,23.266666666666666,27.233333333333334,64.23333333333333,17.033333333333335,31.066666666666666,26.816666666666666,23.433333333333334,33.983333333333334,38.05,20.466666666666665,20.116666666666667,25.516666666666666,7.85,27.883333333333333,42.916666666666664,53.13333333333333,12.233333333333333,33.25,20.633333333333333,19.75,0.0,30.616666666666667
Zacatecas,1.95,27.7,24.766666666666666,25.1,20.7,10.35,9.35,9.483333333333333,10.65,5.15,9.066666666666666,3.8666666666666667,29.4,15.3,4.916666666666667,6.883333333333333,11.333333333333334,7.833333333333333,10.916666666666666,16.7,11.483333333333333,6.95,35.1,4.383333333333334,10.3,20.5,19.366666666666667,13.3,11.35,14.35,31.75,0.0
